zero	0
oh	0
a	1
one	
two	
three	3
four	4
five	5
six	
seven	7
eight	8
nine	9
ten	
eleven	11
twelve	12
thirteen	13
fourteen	14
fifteen	
sixteen	
seventeen	17
eighteen	18
nineteen	19
twenty	20
thirty	30
forty	40
fifty	50
sixty	60
seventy	
eighty	80
ninety	90
hundred	
thousand	10**3
million	**6
billion	**9
trillion	10**12
quadrillion	**15
quintillion	**18
sextillion	10**21
septillion	10**24
octillion	10**27
nonillion	10**30
decillion	10**33
undecillion	**36
duodecillion	10**39
tredecillion	10**42
quattuordecillion	10**45
quindecillion	10**48
sexdecillion	10**51
septendecillion	**54
octodecillion	10**57
novemdecillion	10**60
vigintillion	10**63
centillion	10**303